Year,Month,District,Rainfall_mm,SoilMoisture,Temperature_C,Humidity_%,NDVI,Evapotranspiration_mm,GroundwaterLevel_m,Drought_Index,Crop_Yield_Loss_%
2000,1,Jhapa,370.42,0.37,37.6,41.5,0.68,21.33,5.74,0.04,0.69
2000,1,Morang,37.64,0.14,26.6,86.4,0.71,132.06,10.01,0.93,21.82
2000,1,Sunsari,200.02,0.41,25.4,65.2,0.37,139.13,7.04,0.34,2.92
2000,1,Saptari,131.54,0.32,37.9,58.2,0.22,136.98,2.05,0.4,10.52
2000,1,Siraha,67.44,0.35,16.2,78.6,0.53,58.34,3.74,0.32,5.82
2000,1,Dhanusha,86.97,0.14,21.3,52.1,0.55,105.76,2.23,0.42,14.77
2000,1,Mahottari,172.39,0.18,35.3,75,0.67,101.37,6.39,0.56,14.17
2000,1,Sarlahi,337.46,0.29,33,77.3,0.65,94.33,6.06,0.08,0.04
2000,1,Rautahat,82.72,0.36,33.5,45,0.69,81.48,4.5,0.54,9.01
2000,1,Bara,297.34,0.4,30,61.7,0.29,141.54,14.86,0.13,1.42
2000,1,Parsa,237.93,0.36,31.9,74.6,0.78,34.93,9.55,0.23,3.36
2000,1,Chitwan,356.04,0.4,37.5,61.1,0.51,128,7.55,0.05,1.68
2000,1,Nawalparasi,101.34,0.38,37.7,71,0.35,27.3,12.6,0.35,7.65
2000,1,Rupandehi,383.88,0.15,16.6,46.3,0.5,31.11,5.4,0.03,0.84
2000,1,Kapilvastu,89.65,0.09,36.9,73.9,0.37,77.71,13.68,0.72,21.66
2000,1,Dang,247.21,0.33,34.1,66.8,0.73,103.54,13.57,0.2,4.18
2000,1,Banke,110.92,0.4,27.5,87.4,0.74,25.22,7.17,0.32,4.39
2000,1,Bardiya,99.86,0.43,36.9,83.5,0.73,93.28,10.41,0.43,9.44
2000,1,Kailali,310.36,0.3,37.6,46.9,0.61,146.81,2.75,0.1,0.38
2000,1,Kanchanpur,180.58,0.2,33,61.4,0.3,146.89,6.1,0.28,7.24
2000,2,Jhapa,109.9,0.28,16.3,51.8,0.29,116.95,4.42,0.5,12.33
2000,2,Morang,317.19,0.09,25.1,44.5,0.21,65.08,11.09,0.21,5.29
2000,2,Sunsari,355.33,0.41,17.4,40.3,0.79,58.68,3.09,0.07,0.82
2000,2,Saptari,163.41,0.3,22.6,76.7,0.7,113.16,6.55,0.39,3.28
2000,2,Siraha,376.2,0.09,22,55,0.48,84.74,9.05,0.03,0.22
2000,2,Dhanusha,266.9,0.31,28.3,64.6,0.27,82.01,6.63,0.22,3.8
2000,2,Mahottari,368.75,0.24,15.3,65.7,0.46,126.68,12.14,0.06,1.55
2000,2,Sarlahi,99.91,0.24,28,64.6,0.8,103.74,11.03,0.53,8.36
2000,2,Rautahat,141.8,0.38,26.4,74.1,0.8,79.43,2.88,0.26,5.31
2000,2,Bara,18.66,0.15,23.1,70.8,0.64,84.25,2.37,0.49,10.69
2000,2,Parsa,164.57,0.42,26.5,76,0.63,48.45,11.89,0.29,3.08
2000,2,Chitwan,361.63,0.06,25.3,87.1,0.61,32.37,7.34,0.07,1.39
2000,2,Nawalparasi,174.37,0.44,16.3,88.5,0.63,95.53,8.51,0.24,6
2000,2,Rupandehi,51.86,0.41,30.9,80.7,0.36,137.22,7.58,0.35,6.48
2000,2,Kapilvastu,155.53,0.39,29.6,60.6,0.28,104.46,4.49,0.33,2.94
2000,2,Dang,68.12,0.06,19.9,52.4,0.52,82.6,8.52,0.61,26.73
2000,2,Banke,274.06,0.33,23.2,53.9,0.73,103.72,11.27,0.13,0.82
2000,2,Bardiya,0.24,0.4,33.9,72.6,0.27,68.63,10.6,0.5,14.08
2000,2,Kailali,344.14,0.11,24.9,84.9,0.26,70.65,2.2,0.07,1.86
2000,2,Kanchanpur,210.82,0.39,16.4,80.1,0.34,53.72,7.03,0.21,7.6
2000,3,Jhapa,154.62,0.13,16.5,76.3,0.25,118.81,7.78,0.5,13.15
2000,3,Morang,272.91,0.1,18.3,43.9,0.65,113.76,6.91,0.32,6.06
2000,3,Sunsari,4.84,0.17,15.2,45.2,0.34,74.54,3.58,0.86,16.29
2000,3,Saptari,358.57,0.28,36.5,70.9,0.41,108.03,4.66,0.04,1.72
2000,3,Siraha,51.83,0.05,36.4,56.4,0.53,140.5,6.34,0.44,13.97
2000,3,Dhanusha,160.26,0.33,28,56.5,0.76,23.31,11.21,0.29,7.41
2000,3,Mahottari,72.09,0.25,26.6,60.4,0.28,46.25,7.31,0.39,2.9
2000,3,Sarlahi,127.02,0.11,15.1,89.8,0.78,142.65,8.29,0.39,7.04
2000,3,Rautahat,269.46,0.08,17.7,84.9,0.75,101.91,12.96,0.23,7.46
2000,3,Bara,179.18,0.07,19.3,45.9,0.24,44.54,7.34,0.47,13.8
2000,3,Parsa,66.69,0.23,22.8,86.9,0.48,75.79,10.38,0.53,12.93
2000,3,Chitwan,43.15,0.09,34.6,81.4,0.5,119.63,4.8,0.57,8.71
2000,3,Nawalparasi,369.54,0.3,17.4,41.8,0.74,123.02,11.76,0.05,1.8
2000,3,Rupandehi,319.59,0.11,20.1,70.4,0.55,54.45,10.6,0.11,0.83
2000,3,Kapilvastu,43.26,0.31,36.3,63,0.3,97.62,6.44,0.54,12.33
2000,3,Dang,114.8,0.19,15.7,59.2,0.79,101.22,8.51,0.35,5.31
2000,3,Banke,215.75,0.2,23.3,67.8,0.48,55.88,4.34,0.31,7.9
2000,3,Bardiya,337.11,0.11,15.8,69.8,0.35,147.36,12.77,0.14,1.81
2000,3,Kailali,371.7,0.23,37.6,58.9,0.38,51.24,10.29,0.06,1.33
2000,3,Kanchanpur,250.55,0.17,29.2,84.2,0.37,26.63,13.86,0.19,0.89
2000,4,Jhapa,388.32,0.34,30.7,54.5,0.54,36.37,4.46,0.02,0.27
2000,4,Morang,356.06,0.12,36.2,53.5,0.51,113.02,3.43,0.07,0.76
2000,4,Sunsari,383.41,0.16,21.8,72.1,0.32,36.78,5.03,0.02,0.04
2000,4,Saptari,182.15,0.27,17.8,59.2,0.68,121.93,2.28,0.39,6.91
2000,4,Siraha,27.51,0.37,32,49.2,0.74,50.73,7.93,0.68,23.77
2000,4,Dhanusha,148.49,0.26,16.2,53.6,0.63,90.63,12.78,0.29,7.36
2000,4,Mahottari,361.33,0.45,36.1,49.5,0.67,125.61,9.46,0.06,1.89
2000,4,Sarlahi,270.82,0.34,37.7,89,0.52,55.28,10.89,0.19,1.77
2000,4,Rautahat,70.89,0.18,27.5,83.3,0.3,22.89,6.38,0.8,28.3
2000,4,Bara,17.39,0.22,32.5,87.5,0.77,148.11,7.49,0.41,8.94
2000,4,Parsa,14.17,0.35,29.8,83.6,0.35,85.95,3.68,0.45,10.76
2000,4,Chitwan,143.16,0.3,18.7,88.1,0.32,148.95,11.79,0.27,7.96
2000,4,Nawalparasi,118.34,0.12,26.6,58.1,0.5,42.74,11.53,0.65,25.03
2000,4,Rupandehi,74.55,0.18,28,46.9,0.64,82.65,8.83,0.78,19.81
2000,4,Kapilvastu,365.88,0.42,30.7,89.7,0.21,89.82,10.18,0.05,1.9
2000,4,Dang,398.43,0.39,16.5,60.4,0.77,99.65,12.41,0,1.21
2000,4,Banke,127.87,0.24,18.4,47.5,0.41,131.49,2.49,0.55,8.11
2000,4,Bardiya,50.05,0.21,37.9,84.1,0.3,38.91,13.9,0.78,21.27
2000,4,Kailali,12.9,0.35,30.1,42.2,0.66,84.29,14.89,0.39,7.11
2000,4,Kanchanpur,93.75,0.21,25.3,60.4,0.75,92.8,2.59,0.38,3.68
2000,5,Jhapa,166.6,0.44,28.8,71.8,0.58,112.72,12.01,0.28,7.5
2000,5,Morang,94.88,0.4,31.8,81.5,0.65,149.55,12.43,0.39,7.43
2000,5,Sunsari,380.56,0.11,26.4,78.1,0.55,62.81,12.91,0.02,0.48
2000,5,Saptari,288.35,0.45,21,48,0.64,91.68,6.07,0.11,0.9
2000,5,Siraha,358.35,0.29,34,59.1,0.53,48.6,6.39,0.06,0.08
2000,5,Dhanusha,389.17,0.05,37.7,88.2,0.79,149.5,8.2,0.03,1.52
2000,5,Mahottari,158.24,0.06,20.2,43.8,0.77,21.79,9.1,0.47,8.56
2000,5,Sarlahi,114.56,0.09,34.8,88.6,0.55,137.27,10.95,0.58,8.91
2000,5,Rautahat,203.95,0.31,28.3,80.1,0.49,129.97,10.38,0.4,12.37
2000,5,Bara,314.55,0.13,30,89.9,0.32,95.83,10.81,0.19,0.04
2000,5,Parsa,12.22,0.09,16.8,76.8,0.44,126.81,12.97,0.68,28.57
2000,5,Chitwan,358.75,0.18,17,74.9,0.23,130.78,11.5,0.06,0.07
2000,5,Nawalparasi,135.87,0.2,37,42,0.24,120.59,6.03,0.51,12.88
2000,5,Rupandehi,297.03,0.18,31.6,69.1,0.62,89.52,12.11,0.16,1.61
2000,5,Kapilvastu,114.65,0.34,28.6,83.4,0.21,137.21,9.09,0.52,13.49
2000,5,Dang,353.09,0.23,26.7,79.4,0.45,78.43,13.64,0.07,0.68
2000,5,Banke,50.61,0.29,37.9,57.5,0.56,122.16,12,0.72,25.79
2000,5,Bardiya,148.74,0.34,26.5,53.6,0.54,112.68,12.11,0.37,4.93
2000,5,Kailali,58.72,0.17,26.7,65.5,0.41,93.89,2.7,0.49,14.39
2000,5,Kanchanpur,147.19,0.26,24.7,74.1,0.37,137.53,4.4,0.53,8.59
2000,6,Jhapa,369.86,0.27,35.2,40.4,0.27,84.19,7.94,0.05,0.64
2000,6,Morang,177.3,0.2,30.4,62.2,0.76,31.15,6.26,0.38,2.68
2000,6,Sunsari,182.07,0.36,25.2,65.7,0.22,112.31,13.5,0.37,6.84
2000,6,Saptari,232.44,0.12,20.1,66.1,0.34,76,14.07,0.21,2.45
2000,6,Siraha,76.84,0.16,23.8,68.2,0.57,77.2,7.1,0.52,9.08
2000,6,Dhanusha,96.73,0.08,15.6,78.6,0.35,31.91,6.37,0.74,26.68
2000,6,Mahottari,286.52,0.29,34.6,60,0.37,135.06,7.19,0.22,2.06
2000,6,Sarlahi,162.14,0.09,37.4,43.7,0.28,64.32,6.15,0.28,6.84
2000,6,Rautahat,60.9,0.07,21.7,72.3,0.72,64.13,3.61,0.87,24.26
2000,6,Bara,398.64,0.14,21.4,52,0.78,43.24,8.65,0,1.25
2000,6,Parsa,372.94,0.44,33.7,84.5,0.39,72.45,5.15,0.04,0.92
2000,6,Chitwan,365.82,0.22,30.1,59.3,0.3,76.54,10.21,0.07,1.57
2000,6,Nawalparasi,143.04,0.05,33.5,67.4,0.73,146.03,11.35,0.35,2.73
2000,6,Rupandehi,107.71,0.45,28.6,40.5,0.61,108.71,12.99,0.4,9.4
2000,6,Kapilvastu,88.1,0.32,35.6,76.9,0.61,73.75,6.7,0.54,8.57
2000,6,Dang,296.5,0.29,21.7,50.7,0.76,91.74,12.28,0.1,1.9
2000,6,Banke,137.62,0.4,16.2,54.1,0.51,82.62,11.77,0.2,6.75
2000,6,Bardiya,87.63,0.42,28.1,49.8,0.26,45.09,14.98,0.3,2.3
2000,6,Kailali,244.19,0.22,35.4,84,0.65,97.6,2.14,0.17,0.64
2000,6,Kanchanpur,177.87,0.42,26.4,56.9,0.62,29.01,11.69,0.28,4.86
2000,7,Jhapa,140.54,0.1,18.4,58.4,0.31,62.67,13.6,0.37,7.93
2000,7,Morang,289.75,0.08,28.6,62.7,0.49,147.13,13,0.23,3.12
2000,7,Sunsari,310.06,0.13,27.9,75.9,0.24,65.25,4.94,0.14,1.35
2000,7,Saptari,196.04,0.35,26.9,85.2,0.25,115.6,12.83,0.37,2.37
2000,7,Siraha,228.8,0.35,32.3,56,0.29,41.35,2.92,0.18,0.01
2000,7,Dhanusha,189.4,0.45,24.9,42.9,0.64,110.14,4.66,0.18,0.4
2000,7,Mahottari,218.4,0.33,38,74.5,0.42,136.53,6.97,0.18,1.08
2000,7,Sarlahi,239.3,0.07,16.8,48.6,0.21,68.21,11.7,0.44,12.9
2000,7,Rautahat,242.34,0.17,33.3,54.2,0.68,120.8,8.82,0.32,2.45
2000,7,Bara,323.78,0.12,21.7,72.6,0.31,107.65,10.92,0.11,0.64
2000,7,Parsa,166.24,0.09,36,49.6,0.5,72.91,9.65,0.64,17.44
2000,7,Chitwan,53.02,0.21,20.2,64.2,0.35,136.03,8.9,0.65,23.88
2000,7,Nawalparasi,275.79,0.43,17.6,54.9,0.7,95.92,3.9,0.16,1.01
2000,7,Rupandehi,192.94,0.33,20.6,83.2,0.52,109.01,7.83,0.24,4.56
2000,7,Kapilvastu,347.78,0.24,37.4,70.1,0.25,20.44,6.95,0.11,1.47
2000,7,Dang,251.68,0.24,17.9,73.7,0.3,130.78,13.28,0.25,5.93
2000,7,Banke,265.69,0.29,19.7,40.9,0.46,110.47,8.98,0.28,3.51
2000,7,Bardiya,381.42,0.39,21,65.2,0.57,140.02,3.25,0.03,0.13
2000,7,Kailali,182.5,0.21,34.2,42.1,0.43,28.28,2.86,0.23,4.07
2000,7,Kanchanpur,163.66,0.34,19.7,70,0.59,109.32,5.32,0.4,12.34
2000,8,Jhapa,273.95,0.24,22.7,59.6,0.57,147.12,7.55,0.26,2.48
2000,8,Morang,185.71,0.08,27.7,40.2,0.4,35.78,8.06,0.51,13.01
2000,8,Sunsari,160.71,0.09,15.6,67,0.69,139.11,4.7,0.28,6.47
2000,8,Saptari,111.18,0.25,25,42.7,0.36,111.05,3.64,0.3,5.53
2000,8,Siraha,307.07,0.32,26.5,59.6,0.48,84.66,7.68,0.18,0.72
2000,8,Dhanusha,199.88,0.26,30.9,58.7,0.63,69.09,7.38,0.36,6.07
2000,8,Mahottari,214.61,0.23,35.5,88.5,0.62,136.83,11.22,0.19,0.52
2000,8,Sarlahi,254.29,0.44,18.6,60.9,0.23,95.29,14.79,0.22,4.7
2000,8,Rautahat,84.82,0.26,29.9,84.8,0.39,112.92,14.68,0.59,11.36
2000,8,Bara,116.63,0.18,23.5,58.3,0.44,33.04,11.91,0.49,13.34
2000,8,Parsa,351.93,0.42,15.6,59.5,0.79,112.3,8.77,0.05,2
2000,8,Chitwan,207.41,0.18,29.3,40.9,0.26,100.75,5.58,0.25,5.52
2000,8,Nawalparasi,221.08,0.28,24.8,45.8,0.24,136.13,9.95,0.17,0.71
2000,8,Rupandehi,204.37,0.25,16.4,50.1,0.56,125.08,11.74,0.3,4.77
2000,8,Kapilvastu,344.92,0.19,36.8,52.4,0.24,83.21,9.76,0.13,1.69
2000,8,Dang,308.55,0.3,15.4,89.8,0.57,83.89,4.55,0.19,0.93
2000,8,Banke,358.86,0.17,27.4,57.9,0.39,120.81,14.09,0.1,0.9
2000,8,Bardiya,322.23,0.25,24.1,73.6,0.76,86.35,8.08,0.09,1.5
2000,8,Kailali,104.49,0.18,36.4,67.2,0.61,127.46,5.52,0.48,8.17
2000,8,Kanchanpur,388.56,0.18,18.7,84.4,0.51,70.42,4.07,0.01,0.63
2000,9,Jhapa,396.29,0.28,32.8,47.9,0.72,111.13,2.57,0.01,1.26
2000,9,Morang,28.4,0.05,22,66.5,0.44,51.33,2.84,0.69,15.21
2000,9,Sunsari,109.33,0.37,15.2,76.7,0.71,144.12,11.31,0.48,12.63
2000,9,Saptari,373.42,0.13,37.9,67.3,0.66,114.45,6.69,0.04,1.19
2000,9,Siraha,261.57,0.3,31.2,53,0.25,66.23,7.64,0.15,0.19
2000,9,Dhanusha,69.05,0.11,23.4,78.3,0.5,28.19,14.3,0.57,9.05
2000,9,Mahottari,292.34,0.12,28.9,68.8,0.52,147.72,11.72,0.17,0.04
2000,9,Sarlahi,340.33,0.11,15.3,77.2,0.61,32.78,3.5,0.1,0.61
2000,9,Rautahat,108.21,0.3,36.1,46.5,0.39,48.23,3.39,0.6,23.24
2000,9,Bara,24.89,0.09,24.9,79.2,0.39,111.85,13.31,0.56,11.41
2000,9,Parsa,212.25,0.09,31.3,56.9,0.42,31.13,12.95,0.43,11.03
2000,9,Chitwan,87.3,0.4,35.7,76.7,0.4,66.12,9.54,0.55,9.12
2000,9,Nawalparasi,25.26,0.29,36.9,53.5,0.36,138.15,14.35,0.78,15.9
2000,9,Rupandehi,301.68,0.15,32,80.6,0.68,52.14,11.31,0.25,2.4
2000,9,Kapilvastu,143.43,0.12,17.1,61.8,0.55,147.15,12.7,0.41,11.34
2000,9,Dang,214.65,0.16,18.8,87.6,0.49,80.26,8.79,0.27,3.41
2000,9,Banke,241.56,0.29,17.9,60.7,0.8,120.47,13.4,0.33,6.82
2000,9,Bardiya,200.85,0.26,19.5,44.3,0.61,137.39,4.13,0.29,2.08
2000,9,Kailali,295.29,0.16,29.3,67.5,0.62,61.85,12.6,0.16,0.32
2000,9,Kanchanpur,347.6,0.36,35,62.1,0.21,51.66,3.17,0.08,1.37
2000,10,Jhapa,355.98,0.24,34.5,61.3,0.4,64.14,13.64,0.07,0.24
2000,10,Morang,315.91,0.14,36.8,64.6,0.54,118.71,3.16,0.11,0.56
